,Venue,Venue Latitude,Venue Longitude,Venue Category
12766,Coffee and Friends,52.370648649765826,4.930235114714406,Coffee Shop
12771,Rosa & Rita,52.37196991265497,4.931231571639581,Restaurant
12773,De Kop Van Oost,52.36688,4.9271646,Restaurant
12775,Boulevard Café,52.36861626564043,4.9345557407964,Restaurant
12779,Pjotr Media Café,52.3712166018957,4.927490594741783,Café
12781,Dorst Café,52.3661010015585,4.926782332312961,Bar
12787,Visbar Beet,52.364354017953325,4.926222368418542,Restaurant
12794,Dappertutto,52.36562910616189,4.925780101110337,Italian Restaurant
12795,Louie Louie,52.36306485317546,4.923643009833615,Café
12802,NewWerktheater,52.368154067686575,4.924058713215784,Café
12805,Instock,52.368503141153155,4.926531061443137,Restaurant
12808,Mooie Boules,52.36680227402869,4.927315013861442,Bar
12813,Restaurant Elkaar,52.36327,4.91921,French Restaurant
12832,Grand Café de Tropen,52.362466780780025,4.921889298504321,Café
12834,De Kop Van Oost,52.36688,4.9271646,Restaurant
12845,Dorst Café,52.3661010015585,4.926782332312961,Bar
12858,Thuishaven,52.3964639604248,4.856460781787469,Music Venue
12860,De Sloot,52.39627938499935,4.853759401646104,Restaurant
12867,Darras Coffee Roasters,52.40049977537421,4.842325516248944,Coffee Shop
12877,Pont 13,52.39758517634951,4.8828580331941875,Restaurant
12878,Pinsas Restaurant,52.39068288352997,4.878394056458453,Pizza Place
12889,Pinsas Restaurant,52.39068288352997,4.878394056458453,Pizza Place
12905,Westergasterras,52.387153,4.869859,Restaurant
12917,Café Restaurant Amsterdam,52.38407188318563,4.8684648994303705,Restaurant
12918,Café/Restaurant Uitvlugt,52.381805,4.8673816,Restaurant
12924,Jam studios Amsterdam,52.38488795430807,4.866866070120463,Music Venue
12938,Monks Coffee Roasters,52.371176346080155,4.870409989153434,Coffee Shop
12940,Coffee & Juices,52.374776360118574,4.872654329505546,Coffee Shop
12944,Rotisserie,52.370306,4.867719,Burger Joint
12945,Local Hero,52.3749466679783,4.860697960902276,Café
12948,Café Binnenvisser,52.37159959621643,4.870584256099729,Café
12949,Pazzi Amsterdam,52.37013020523961,4.867244782589529,Pizza Place
12950,FIKO,52.370523,4.868961,Italian Restaurant
12954,Bar Spek,52.370078,4.864525,Bar
12956,Hendrix Bar & Restaurant,52.370697,4.868641,Bar
12959,Faam,52.37177098096948,4.862525448869058,Italian Restaurant
12964,Harar Coffee,52.37455,4.873701,Coffee Shop
12967,Razmataz,52.374345,4.873013,French Restaurant
12969,Cafe de Oude Schaeper,52.37431474531264,4.874022022630599,Bar
12970,YamYam Trattoria Pizzeria,52.37611755504976,4.873602358503639,Pizza Place
12973,Cantinetta wine & pasta,52.37012516091521,4.866599766019809,Italian Restaurant
12976,Karakter,52.370596054677584,4.868948053912144,Bar
12978,Schaper,52.37429645127064,4.8739542656388135,Bar
12981,sOwiesO eten&drinken,52.374950885574,4.871784238621195,Restaurant
12982,Five Brothers Fat,52.37086564666427,4.869789915202324,Bar
12994,Thuys,52.369892,4.865381,Bar
12996,H.Burger,52.3700442994959,4.865935049021704,Burger Joint
12999,CoffeeRoastery DaCosta,52.371229,4.87255,Coffee Shop
13007,Cheech & Chong's 2e,52.371201265438664,4.871406893588667,Coffee Shop
13012,Samen - Lunch & Juice,52.382615530467305,4.855640000488831,Café
13016,Wilde Westen,52.37662593318515,4.844664240517512,Restaurant
13017,Eetwinkel Buurman & Buurman,52.375401,4.848373,Pizza Place
13018,Florya Restaurant & Café,52.3753055002988,4.845938595853069,Restaurant
13021,Terrasmus,52.3741374244589,4.850276119430741,Café
13025,Loft,52.372814446956916,4.849233545781834,Coffee Shop
13029,Restaurant DS,52.370630708193296,4.84345967800305,Restaurant
13033,De Biergrill,52.37840414291892,4.848888861158828,Burger Joint
13040,Wilde Westen,52.37662593318515,4.844664240517512,Restaurant
13042,Florya Restaurant & Café,52.3753055002988,4.845938595853069,Restaurant
13044,Restaurant DS,52.370630708193296,4.84345967800305,Restaurant
13048,Co' Cos Keuken,52.37391287429401,4.841606963352261,Coffee Shop
