,Venue,Venue Latitude,Venue Longitude,Venue Category
8444,Brasserie De Joffers,52.35588929962068,4.870831865630191,Café
8445,Roberto's Restaurant,52.35139264411052,4.871466165546254,Italian Restaurant
8452,George W.P.A.,52.35719987404816,4.874581014412732,French Restaurant
8461,L'Entrecôte et les Dames,52.355733447825806,4.880336265364196,French Restaurant
8472,Ferilli’s,52.350074,4.878131,Italian Restaurant
8474,Le 4 Stagioni,52.355546,4.875381,Pizza Place
8481,Valerius Eten & Drinken,52.355389655974335,4.873670468435905,Restaurant
8487,Pompa,52.35805717439733,4.877978921948492,Italian Restaurant
8488,Restaurant Oud-Zuid,52.355078184029715,4.874046454445445,Restaurant
8490,Uitmarkt Hoofdpodium,52.35724832095687,4.881157817355992,Music Venue
8493,Het Concertgebouw Café,52.355872,4.878307599999999,Café
8494,De Kersentuin,52.351165866573176,4.874045877271026,French Restaurant
8497,Brasserie Keyzer,52.356795,4.879243,Restaurant
8499,Small Talk,52.35801829721919,4.878801739863029,Restaurant
8503,Rookruimte Artiestenfoyer,52.35638521319517,4.8788305655785695,Café
8507,Ferilli’s,52.350074,4.878131,Italian Restaurant
8510,Cannibale Royale,52.353594346920424,4.887073935860933,Burger Joint
8523,Starbucks,52.34924643340836,4.877431666712979,Coffee Shop
8532,Tuinhuis Rijksmuseum,52.35932535011871,4.884879012665438,Coffee Shop
8550,Conservatorium Brasserie & Lounge,52.35860584260839,4.879009585292059,French Restaurant
8552,Paradiso,52.36217319923613,4.883874534430329,Music Venue
8556,L'Entrecôte et les Dames,52.355733447825806,4.880336265364196,French Restaurant
8559,Cafe Caron,52.357442594062086,4.888850122594896,French Restaurant
8560,Café Georgette,52.36005634160384,4.880068731442889,Restaurant
8563,Back to Black,52.36102,4.888569,Coffee Shop
8569,Brandmeester's,52.35969117987648,4.87754245247178,Coffee Shop
8570,Cafe De Wetering,52.36115325787267,4.888831421453769,Café
8584,Nespresso Boutique,52.359804,4.878529999999955,Coffee Shop
8587,Martinot,52.355457,4.8807673,Restaurant
8588,Restaurant De Knijp,52.35479910529071,4.8807014513133815,Restaurant
8591,Pompa,52.35805717439733,4.877978921948492,Italian Restaurant
8594,Locals,52.357547426408644,4.8889514765320525,Café
8604,Hans & Grietje,52.361648566967816,4.887152181731106,Café
